ts,dt,open,high,low,close,base_volume,quote_volume,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1774814400000,2026-03-29T20:00:00+00:00,274.28,275.1,273.32,273.32,1104.65,303119.0608,276.78087019612195,277.03393946030286,282.16371851379733,285.6154426282751,287.8411330273106,25.825680398598806,1.690938947883627,12.155103817603699,34.479828039844286,65.46576065357245
1774828800000,2026-03-30T00:00:00+00:00,273.32,274.37,272.0,274.01,7634.9,2084312.2006,276.5169777964913,276.75903587300263,281.8439648465896,285.3856318831607,287.7035098131085,30.08654083450243,1.7394433087490826,10.972147511048448,36.54464331282989,64.63376411790091
1774843200000,2026-03-30T04:00:00+00:00,274.01,275.69,274.0,275.48,1723.91,473566.7707,276.41821800634926,276.64275988454784,281.59439759770373,285.18948075676155,287.581882849794,38.22776942601923,1.7359116438384337,15.640631939843292,34.00335007947326,62.65912453144248
1774857600000,2026-03-30T08:00:00+00:00,275.48,276.56,274.12,275.71,4329.44,1193056.0837,276.3507686724112,276.55796353140715,281.3636369075977,285.0017682665287,287.46375466223384,39.41648730222945,1.7862036692785455,17.59357105018515,30.685532375570627,60.1204186384097
1774872000000,2026-03-30T12:00:00+00:00,275.71,277.36,273.53,275.85,5620.84,1549030.2958,276.3030764178959,276.4936032103701,281.1474158523978,284.82054513253803,287.348194914351,40.17119833233247,1.9321891214729379,18.059978472936127,26.340882654087693,57.15826897668562
1774886400000,2026-03-30T16:00:00+00:00,275.85,275.85,272.76,274.11,1401.05,383939.8403,276.09421199714393,276.27691200942735,280.8714387601469,284.60845512991347,287.2164715818699,34.43037824733668,2.0148898985105874,16.081659334200037,26.185137617938103,54.78296796036326
1774900800000,2026-03-30T20:00:00+00:00,274.11,274.23,272.53,272.69,737.05,201596.0891,275.77000133074927,275.9508290994794,280.5505980244548,284.3724461174399,287.0719295760801,30.58851955557509,1.9923977629026914,15.10154735279129,25.413822401989112,52.68795226376119
1774915200000,2026-03-31T00:00:00+00:00,272.69,277.68,272.2,276.16,6088.08,1675192.4954,275.8071440611541,275.96984463589035,280.3784177097703,284.2098234220451,286.96335316238776,46.34433790656805,2.2415122084096435,23.45826295126808,20.975882621858286,49.32357355245721
1774929600000,2026-03-31T04:00:00+00:00,276.16,276.47,274.82,276.46,1951.89,537770.9573,275.86932081723467,276.0144042144458,280.22475427017145,284.0563615721036,286.8588421856476,47.45483864362157,2.1992613363803857,22.20114820910726,19.851797205621295,46.199507606246364
1774944000000,2026-03-31T08:00:00+00:00,276.46,277.91,275.93,277.5,5102.8,1412862.8007,276.02462359654567,276.1494583767689,280.11790116153725,283.92653263008174,286.7657193778302,51.223689950000605,2.1835998123532168,25.473651517634888,18.566025287526532,44.01990039420688
1774958400000,2026-03-31T12:00:00+00:00,277.5,282.69,276.98,281.08,10205.14,2847675.8047,276.5060880159223,276.59768943342624,280.15563052775144,283.87016564730783,286.7091450556627,61.46892208076121,2.4354855400422712,35.226633428717655,15.456876863737257,43.66178530377562
1774972800000,2026-03-31T16:00:00+00:00,281.08,288.07,281.08,287.61,6931.22,1980832.8051,277.5636034429773,277.59880857584204,280.4479587423494,283.9442217731037,286.71810878645215,72.7232638755487,2.7608080014678236,42.775299103459595,12.66153658602351,44.42314734581792
1774987200000,2026-03-31T20:00:00+00:00,287.61,289.6,286.49,289.6,1389.54,400042.7749,278.7099269245985,278.6898259780382,280.8068623210808,284.0562173815571,286.7467843209153,75.1092679952792,2.785750287077266,43.28731350661892,11.651873255435085,45.36311190239404
1775001600000,2026-04-01T00:00:00+00:00,289.6,290.2,288.55,289.58,2857.15,826734.584,279.74517197939866,279.6798417982165,281.15090693594044,284.16559921558564,286.77497552170223,75.0382247257289,2.7046252665717456,42.98560634732297,11.144129536631558,46.32463042955467
1775016000000,2026-04-01T04:00:00+00:00,289.58,291.69,288.95,290.04,4039.34,1173531.9987,280.7256317908845,280.62167436201497,281.4994988208055,284.2819239835938,286.80746332745645,75.60965066507978,2.707152033245193,43.809335444621674,10.338461688876892,47.4310079597204
1775030400000,2026-04-01T08:00:00+00:00,290.04,291.2,287.8,291.01,5405.44,1564122.0957,281.70509542984786,281.5660676018318,281.8724596513622,284.41515321164144,286.8492796127554,76.81493994268648,2.7566411737276773,39.9497797875596,12.407471069330384,47.800548383918056
1775044800000,2026-04-01T12:00:00+00:00,291.01,298.17,288.89,297.97,14171.28,4159272.5676,283.25413396033855,283.0573341834834,282.50373574346565,284.6835660193317,286.95993354695685,83.22175292185611,3.222595375604274,47.181440819032005,9.855372569667873,49.06065668328217
1775059200000,2026-04-01T16:00:00+00:00,297.97,300.33,295.66,297.22,2338.75,696696.6943,284.5842164403063,284.34484925771216,283.0808441456827,284.93181223677067,287.06202376041995,80.63592799856372,3.325981420203966,47.088292617538904,8.866951321371737,50.4353945749191
1775073600000,2026-04-01T20:00:00+00:00,297.22,297.74,296.88,297.48,859.03,255313.5468,285.81238630313425,285.53895387064745,283.6455169242834,285.1802912023791,287.1656852155401,80.85797600686354,3.149839890189398,46.1699708464815,8.694026927882707,51.711936902867684
1775088000000,2026-04-02T00:00:00+00:00,297.48,298.22,290.5,290.63,6261.63,1835612.9942,286.2712066552167,286.00177624604316,283.91941822137034,285.28820622807456,287.20015600941537,61.008727574691434,3.476279898033014,38.84621044353468,20.424179538924662,50.238322775088
1775102400000,2026-04-02T04:00:00+00:00,290.63,292.38,289.66,292.38,1811.36,526862.1791,286.852996497577,286.5816147691301,284.25120574210086,285.4286377879146,287.25169674564006,63.47554552454464,3.4222599053163685,36.640865451592134,21.017902326145986,48.58526793275994
1775116800000,2026-04-02T08:00:00+00:00,292.38,292.41,288.52,288.56,2787.8,811401.2563,287.01556825971255,286.7614679719365,284.42017806594004,285.49064496043115,287.2647146884695,55.25746080896846,3.4556699120794883,33.694714214575974,21.68430939402423,46.66400899395639
1775131200000,2026-04-02T12:00:00+00:00,288.56,298.09,288.0,295.06,9378.85,2750352.5216,287.7817046159304,287.5158799744877,284.8374259849228,285.6801371394325,287.3422797164449,63.836989428364994,3.9295506326452374,37.839505364132734,17.707215569023337,45.919714440811326
1775145600000,2026-04-02T16:00:00+00:00,295.06,295.94,294.5,295.5,1152.98,340299.4153,288.5167803667942,288.2417090677161,285.2555661423768,285.8745898693447,287.42345106254993,64.33553234400546,3.7517255874562916,36.802099157800605,17.221755329747115,45.22858378431948
1775160000000,2026-04-02T20:00:00+00:00,295.5,296.0,295.25,295.71,748.25,221337.4292,289.20184890329,288.9206446070146,285.665543940715,286.0693504659913,287.5059042858082,64.58646578576551,3.5373166169236994,36.36590139411804,16.960937841397847,44.597166193421046
1775174400000,2026-04-03T00:00:00+00:00,295.71,295.93,295.34,295.72,561.9,166055.408,289.8226251982147,289.5387678245587,286.0598363351968,286.26045243696177,287.5876365814718,64.59923901728179,3.326794001429152,35.90522875052626,16.746081622421894,44.01084985901536
1775188800000,2026-04-03T04:00:00+00:00,295.72,295.92,295.37,295.51,1625.91,480617.7648,290.3642799412419,290.0816071132352,286.43043098871846,286.4436117946457,287.6664660682234,64.0765604613379,3.1284515727556417,35.4543467326167,16.53579171934238,43.4664132627815
1775203200000,2026-04-03T08:00:00+00:00,295.51,295.65,295.19,295.36,1229.21,363115.2269,290.84006280398074,290.561461012032,286.78061016563146,286.620173937326,287.74301864465895,63.68021993397368,2.9378478889873803,35.05782227678392,16.788492145977422,42.878631689324216
1775217600000,2026-04-03T12:00:00+00:00,295.36,295.75,295.05,295.14,340.66,100590.0766,291.2495806321731,290.97769182912,287.1084293748224,286.78888336430964,287.81662044918977,63.064096714306295,2.7780016112025665,34.42683232099323,16.846294629623763,42.26501624377575
1775232000000,2026-04-03T16:00:00+00:00,295.14,295.39,294.89,294.97,109.48,32312.908,291.60390628625186,291.3406289355636,287.41672626208424,286.95088567392725,287.887798355168,62.56039500148698,2.615287210402383,33.9567005049314,17.053233187299284,41.61305787489637
1775246400000,2026-04-03T20:00:00+00:00,294.97,295.75,294.94,295.28,255.77,75524.4096,291.95401044946595,291.69875357778506,287.72508993808094,287.1158186308792,287.9613526003902,63.138572064629976,2.48633812394507,34.200750537191226,16.65640407576709,41.1047896326665
1775260800000,2026-04-04T00:00:00+00:00,295.28,295.39,295.0,295.19,112.96,33344.9453,292.2621999304692,292.0161396161682,288.0178315091366,287.2757034104657,288.03327944018736,62.83518434811424,2.3365996865204215,33.79300624148142,16.45782499073952,40.63282626488162
1775275200000,2026-04-04T04:00:00+00:00,295.19,296.0,295.19,295.28,510.04,150768.2041,292.54960946090074,292.31285419651647,288.30262243034696,287.4342043330307,288.10538611242436,63.0265122639457,2.227556851768963,34.87130692123726,16.03035992700797,40.37436730494812
1775289600000,2026-04-04T08:00:00+00:00,295.28,295.37,294.95,295.15,146.35,43195.4331,292.7972657027197,292.57077654228766,288.5711470409216,287.58699236603996,288.1754817729973,62.525796668846525,2.098445648071181,34.372776397657226,16.618116354061108,39.97757511952128
1775304000000,2026-04-04T12:00:00+00:00,295.15,295.31,294.93,295.0,197.3,58231.3615,293.00704992150827,292.7916150384433,288.8232589216698,287.73378459641543,288.2433874269973,61.91458254374908,1.9756995303518106,33.90055106934587,16.462117928900902,39.595299241639985
1775318400000,2026-04-04T16:00:00+00:00,295.0,295.26,294.92,295.15,195.79,57786.059,293.21114040517415,293.0060136713121,289.07136641493764,287.8806403469814,288.3121099401615,62.311344005879526,1.8588638496123937,33.457646605110895,16.285469315717663,39.232900450390794
1775332800000,2026-04-04T20:00:00+00:00,295.15,295.53,295.11,295.46,143.8,42464.623,293.4253175094433,293.2291033375564,289.3219010653322,288.03072667674417,288.38323322433905,63.16539133746862,1.7560878603543626,33.98429567051213,16.0072576780762,38.99913262122355
1775347200000,2026-04-05T00:00:00+00:00,295.46,295.46,294.91,294.94,492.77,145419.2885,293.5695729847344,293.3846393977785,289.5422186706133,288.167543970274,288.4484746847934,60.681382758632566,1.6699387274719049,33.18480685816867,16.486146432362034,38.61480617672889
