ts,dt,open,high,low,close,base_volume,quote_volume,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1771603200000,2026-02-20T16:00:00+00:00,315.42,317.0,313.36,315.96,4736.96,1494086.4697,316.01558142957555,316.5140350846174,325.78067407922686,331.47459911072485,335.01250689943106,41.652284216128784,8.938651861923022,15.615139518087954,29.815756122298826,
1771689600000,2026-02-21T16:00:00+00:00,315.96,316.25,314.73,315.46,1147.73,362260.3551,315.9626689124731,316.41821371328854,325.37594176239446,331.15747833625505,334.817954591974,41.27342372902426,8.408748157499947,15.413521159080634,29.430783332591957,
1771776000000,2026-02-22T16:00:00+00:00,315.46,320.33,311.18,313.26,5541.04,1753074.1023,315.70527187318993,316.13110337571686,324.9008067913202,330.80307282464605,334.60344758110864,39.56803897237974,8.46169471767852,17.667091009545814,27.15758396196571,
1771862400000,2026-02-23T16:00:00+00:00,313.26,315.18,306.37,310.95,16333.51,5067117.4705,315.252388837648,315.6600939779244,324.3537163289155,330.40994266970256,334.36808989373446,37.80184320565972,8.486573666415769,16.357063144084748,29.192240575352024,
1771948800000,2026-02-24T16:00:00+00:00,310.95,314.01,309.98,310.28,7850.96,2447856.0155,314.7788279959672,315.1709945253858,323.8018058846443,330.0113299435698,334.12840740722964,37.282037009384915,8.168246975957498,15.780623979592157,28.163476999721514,
1772035200000,2026-02-25T16:00:00+00:00,310.28,314.88,302.47,305.13,30721.32,9506094.2313,313.8598919963513,314.25817684125985,323.0695782028935,329.5186303407269,333.8398660399936,33.47201532734982,8.471229334817675,14.129341099905796,31.54881168091862,
1772121600000,2026-02-26T16:00:00+00:00,305.13,310.76,304.16,308.76,15301.2,4699534.1095,313.37418799669877,313.7583425829635,322.5084182733683,329.10756835378174,333.590315134123,38.26128691874784,8.337570096616409,13.330430264642326,29.764957266664254,43.044632293813
1772208000000,2026-02-27T16:00:00+00:00,308.76,312.53,305.78,309.39,11674.48,3612774.5175,312.9947415208227,313.36122052996683,321.9939704979421,328.71712145568705,333.34951597855957,39.08095270749071,8.22417223257238,14.086212759505592,28.01998389628096,42.33372804295345
1772294400000,2026-02-28T16:00:00+00:00,309.39,309.8,307.94,309.22,1100.31,339782.0263,312.63524232836335,312.98474593633347,321.49303047841494,328.33103984270315,333.10942129220575,38.9307543750866,7.769588501674354,13.84534363490492,27.540852343488837,41.6736026671553
1772380800000,2026-03-01T16:00:00+00:00,309.22,309.54,301.75,305.58,20442.03,6230813.7764,311.96331448756683,312.31158721484854,320.8689900674967,327.8805242022536,332.83549670223357,35.76152853986342,7.771046465840473,12.853978467604426,31.25846858936575,41.67704261112605
1772467200000,2026-03-02T16:00:00+00:00,305.58,308.7,296.33,299.23,24310.92,7324416.1467,310.7506178697033,311.12235201349864,320.0204022217126,327.31318708933765,332.5011136504701,31.01771893900755,8.099543146851868,11.45175022935348,32.62832313136387,42.131621505943244
1772553600000,2026-03-03T16:00:00+00:00,299.23,306.18,298.73,305.15,16129.97,4883359.5689,310.2172256916364,310.5794109213624,319.4372491934101,326.8743120974696,332.2289632658883,39.12512497190651,8.05314720779102,10.695031529310482,30.472280450546297,42.55373047970206
1772640000000,2026-03-04T16:00:00+00:00,305.15,305.9,299.18,300.62,8852.9,2682246.0495,309.3032041971948,309.6740099285113,318.6993178524921,326.35442472920283,331.91444621846654,35.67039962701129,7.957922407234517,10.049936632506505,28.634276274611498,42.94568881247811
1772726400000,2026-03-05T16:00:00+00:00,300.62,302.5,294.13,300.07,9053.51,2708083.6921,308.4238514165096,308.8009181168284,317.9687563680806,325.8339410711988,331.5975860570888,35.263272933826244,7.98735652100348,9.297694462621392,31.007054041607468,43.725499039207236
1772812800000,2026-03-06T16:00:00+00:00,300.07,300.62,296.87,297.2,2638.64,787951.9551,307.3549131863658,307.7462891971167,317.15429533403824,325.2669323371157,331.2553215192073,33.13782949391398,7.68468819807466,8.973614446656605,29.92627357401701,44.44960853545571
1772899200000,2026-03-07T16:00:00+00:00,297.2,298.02,295.94,296.55,1721.94,511395.3949,306.32587383528335,306.7284447246515,316.34628375231125,324.69828021162823,330.90999493692664,32.657732371531,7.284353326783612,8.790588904377254,30.22783334570865,45.19901800088696
1772985600000,2026-03-08T16:00:00+00:00,296.55,300.3,289.37,299.93,10539.33,3102658.7746,305.7167429938278,306.1104042951377,315.7025079188873,324.2078192173385,330.6017362808378,37.71134580711795,7.544756660584783,7.880958727258077,33.319950316327784,46.38078549308322
