ts,dt,open,high,low,close,base_volume,quote_volume,ema8,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1775764800000,2026-04-09T20:00:00+00:00,260.51,260.51,259.48,260.1,708.12,184104.6644,259.046797661311,258.0102172145155,257.9369447666718,256.16471490876233,254.4320542999857,253.1338271937272,58.914529378545645,2.042047455462126,19.84759564536755,26.47421129175262,17.50670008449938
1775779200000,2026-04-10T00:00:00+00:00,260.1,260.8,259.77,260.75,2155.27,561510.6844,259.42528706990856,258.2711489083711,258.1926770606107,256.3445300103795,254.55716213562954,253.20961000772,60.67895749705546,1.9697583515005477,20.157893913997967,25.485386676006037,17.089937209253154
1775793600000,2026-04-10T04:00:00+00:00,260.75,260.84,260.12,260.15,3885.09,1012349.5292,259.58633438770664,258.4500871075739,258.3706155096461,256.49376412761956,254.66791140027055,253.27866861460836,58.194562265008656,1.8804898978219349,19.758541914201874,24.788399667158096,16.675737442791558
1775808000000,2026-04-10T08:00:00+00:00,260.15,260.6,258.91,258.91,1439.78,374221.6372,259.43603785710513,258.493888335424,258.4196504633146,256.58851847555604,254.75191315472065,253.33470176272172,53.33445805994315,1.8668834765489393,18.480937658826633,27.815124823824643,16.924752347004937
1775822400000,2026-04-10T12:00:00+00:00,258.91,262.13,258.4,260.84,3526.37,918376.7444,259.7480294444151,258.7173275415741,258.6396822393769,256.7552432412205,254.87246932987472,253.40938134717226,59.06479839282147,1.9999632282240165,21.483353665645808,24.109684710558245,16.127296988370357
1775836800000,2026-04-10T16:00:00+00:00,260.84,261.05,259.02,260.37,917.76,238531.4243,259.886245123434,258.87472491856704,258.796983853979,256.89699840823147,254.98133132334254,253.47864123426507,57.22202243335616,2.002108711922303,19.927451000136813,22.363573591709738,15.386802726781108
1775851200000,2026-04-10T20:00:00+00:00,260.37,260.99,260.32,260.99,279.55,72853.938,260.1315239848931,259.0761796882273,258.99634895816274,257.05750827457535,255.10031486149418,253.55338112248134,59.03757163080854,1.9069580896421399,19.42735040827155,21.802335910615472,14.699200912448232
1775865600000,2026-04-11T00:00:00+00:00,260.99,260.99,259.68,260.28,6308.33,1642499.8421,260.16451865491683,259.19082924172943,259.1130445074207,257.1838804991018,255.20288288403884,253.62031265360096,56.101198410698245,1.864318226096273,18.452278177783242,23.16012602318572,14.457370024407883
1775880000000,2026-04-11T04:00:00+00:00,260.28,261.24,260.11,260.93,9386.04,2447537.0396,260.33462562049084,259.3564645520409,259.27822227947337,257.33078714619586,255.31629114376085,253.69304586102785,58.153231622945924,1.8118669242322532,18.61583976656758,22.128398469680995,14.040486087427471
1775894400000,2026-04-11T08:00:00+00:00,260.93,261.46,260.6,260.96,11697.93,3052117.1551,260.4735977048262,259.5091822137513,259.4311111631576,257.4731092188941,255.4280477547755,253.76535386241068,58.25023310228684,1.743876429644232,18.861203555739422,21.34891898197903,13.479507721941802
1775908800000,2026-04-11T12:00:00+00:00,260.96,261.37,260.66,261.1,10530.78,2749602.9317,260.6127982148648,259.6606886695845,259.5828283301433,257.6153402299178,255.54036364081952,253.83833541601854,58.7309970288448,1.6700281132410713,18.288439266050503,20.700609430565564,12.958599239705109
1775923200000,2026-04-11T16:00:00+00:00,261.1,261.6,260.99,261.57,2405.91,628332.4607,260.8255097226727,259.84252784390975,259.76348030013025,257.7704249267838,255.65976238060526,253.91526740192882,60.38045701934227,1.5943118194381385,18.819078070441837,20.13487623195777,12.274258544318652
1775937600000,2026-04-11T20:00:00+00:00,261.57,261.58,261.01,261.11,468.77,122496.4448,260.88872978430095,259.9632394778231,259.8858911819366,257.90138865514524,255.76768787801902,253.9868567810141,57.93962362890878,1.521146689478271,18.31537561574813,19.595955752164418,11.638799327174084
