Time Berlin,Update Berlin,Exchange,Symbol,Status,Trade Side,Order Side,Position Side,Order Type,Source,Qty,Order Qty,Limit Price,Avg Price,Quote Volume,Leverage,Margin Mode,TP,SL,Planned Risk $,Planned Reward $,Planned R:R,Risk/Unit,Reward/Unit,Notional $,Est Margin $,Fill Ratio,Entry Slip/Unit $,Entry Slip $,Entry Slip bps,Fee,Realized PnL,Net PnL Est,Order ID,Client OID,Notes
2026-05-27 14:45:23,2026-05-27 14:45:23,Bitget Futures,CLUSDT,filled,close,sell,short,market,api,1.7,1.7,,88.917,151.1589,4,isolated,,,,,,,,151.1589,37.7897,1.0,,,,-0.09069534,9.52667231,9.43597697,1443511675398025217,1442741889573810176,
2026-05-27 14:22:07,2026-05-27 14:22:07,Bitget Futures,CLUSDT,filled,close,sell,short,market,api,6,6,,88.699,532.194,4,isolated,,,,,,,,532.194,133.0485,1.0,,,,-0.3193164,34.93154936,34.61223296,1443505821705728009,1442741167478267904,
2026-05-27 14:21:24,2026-05-27 14:21:24,Bitget Futures,CLUSDT,filled,close,sell,short,market,api,3.98,3.98,,88.903,353.8319,4,isolated,,,,,,,,353.8319,88.458,1.0,,,,-0.21229914,22.36138107,22.14908193,1443505639530328064,1442741166224171008,
2026-05-26 15:30:13,2026-05-26 15:30:13,Bitget Futures,APPUSDT,filled,close,buy,long,market,sys,2.83,2.83,,520.85,1474.0265,3,isolated,,,,,,,,1474.0265,491.3422,1.0,,,,-0.61909113,125.22229629,124.60320516,1443160571527196673,1441402961399545856,
2026-05-26 15:29:32,2026-05-26 15:29:32,Bitget Futures,APPUSDT,filled,close,buy,long,market,sys,2.01,2.01,,512.53,1030.2002,3,isolated,,,,,,,,1030.2002,343.4001,1.0,,,,-0.43268408,72.21558888,71.7829048,1443160400823218178,1441402448129982465,
2026-05-26 13:01:10,2026-05-26 13:01:10,Bitget Futures,APPUSDT,filled,close,buy,long,market,sys,1.1,1.1,,501.76,551.945,3,isolated,,,,,,,,551.945,183.9817,1.0,,,,-0.2318169,27.67481481,27.44299791,1443123061606477824,1441401860428300288,
2026-05-24 17:24:31,2026-06-01 08:16:31,Bitget Futures,AAPLUSDT,canceled,open,buy,long,limit,android,0,33.33,303.75,,0,6,isolated,313.4,302.55,,,,,,,,,,,,0,0,0.0,1442464561272352769,1442464561284935680,
2026-05-24 17:23:18,2026-06-01 08:16:33,Bitget Futures,AAPLUSDT,canceled,open,buy,long,limit,android,0,8.74,306.55,,0,6,isolated,312.65,302.55,,,,,,,,,,,,0,0,0.0,1442464252072456204,1442464252072456270,
2026-05-24 17:22:20,2026-06-01 08:16:36,Bitget Futures,AAPLUSDT,canceled,open,buy,long,limit,android,0,4.95,307.6,,0,6,isolated,312.4,302.55,,,,,,,,,,,,0,0,0.0,1442464011277463553,1442464011290046464,
2026-05-24 10:45:44,2026-05-24 16:15:04,Bitget Futures,CLUSDT,filled,open,sell,short,limit,api,14.81,14.81,95.1,95.1,1408.431,4,isolated,83.05,97.8,39.987,178.4605,4.463,2.7,12.05,1408.431,352.1078,1.0,,,,-0.2816862,0,-0.2816862,1442364204768718849,tvflow_cl_20260524_optB4x_S3,
2026-05-24 10:45:35,2026-05-24 16:13:34,Bitget Futures,CLUSDT,filled,open,sell,short,limit,api,10,10,94.3,94.3,943,4,isolated,88.7,97.8,35.0,56.0,1.6,3.5,5.6,943.0,235.75,1.0,,,,-0.1886,0,-0.1886,1442364167233892353,tvflow_cl_20260524_optB4x_S2,
2026-05-24 10:42:48,2026-05-24 16:13:07,Bitget Futures,CLUSDT,filled,open,sell,short,limit,api,5.68,5.68,93.4,93.4,530.512,4,isolated,88.98,97.8,24.992,25.1056,1.0045,4.4,4.42,530.512,132.628,1.0,,,,-0.1061024,0,-0.1061024,1442363466399248385,tvflow_cl_20260524_optB4x_S1,
2026-05-21 18:56:40,2026-05-21 19:06:06,Bitget Futures,APPUSDT,filled,open,buy,long,limit,api,2.83,2.83,473.9,473.9,1341.137,3,isolated,522.75,459.8,39.903,138.2455,3.4645,14.1,48.85,1341.137,447.0457,1.0,,,,0,0,0.0,1441400585507729409,tvflow_app_20260521_optB3x_L3,
2026-05-21 18:56:39,2026-05-21 19:04:04,Bitget Futures,APPUSDT,filled,open,buy,long,limit,api,2.01,2.01,477.2,477.2,959.172,3,isolated,514.61,459.8,34.974,75.1941,2.15,17.4,37.41,959.172,319.724,1.0,,,,0,0,0.0,1441400581992902657,tvflow_app_20260521_optB3x_L2,
2026-05-21 18:56:38,2026-05-21 19:01:44,Bitget Futures,APPUSDT,filled,open,buy,long,limit,api,1.1,1.1,482.5,482.5,530.75,3,isolated,503,459.8,24.97,22.55,0.9031,22.7,20.5,530.75,176.9167,1.0,,,,0,0,0.0,1441400578704568321,tvflow_app_20260521_optB3x_L1,
2026-05-21 17:35:40,2026-05-21 17:35:40,Bitget Futures,AAPLUSDT,filled,close,buy,long,market,sys,10.94,10.94,,303.43,3319.6204,10,isolated,,,,,,,,3319.6204,331.962,1.0,,,,-1.39424056,76.41489257,75.02065201,1441380203304218627,1440291401850941440,
2026-05-21 15:33:29,2026-05-21 15:33:29,Bitget Futures,JDUSDT,filled,close,buy,long,market,sys,121.21,121.21,,30.96,3753.7695,7,isolated,,,,,,,,3753.7695,536.2528,1.0,,,,-1.57658319,-105.33253784,-106.90912103,1441349452072382473,1441231679135580161,
2026-05-21 15:33:29,2026-05-21 15:33:29,Bitget Futures,JDUSDT,filled,close,buy,long,market,sys,28.09,28.09,,31.06,872.5595,7,isolated,,,,,,,,872.5595,124.6514,1.0,,,,-0.36647499,-21.77410484,-22.14057983,1441349452072382468,1440806596918636545,
2026-05-21 15:33:29,2026-05-21 15:33:29,Bitget Futures,JDUSDT,filled,close,buy,long,market,sys,55.56,55.56,,31.21,1734.488,7,isolated,,,,,,,,1734.488,247.784,1.0,,,,-0.72848496,-34.43955731,-35.16804227,1441349452059799619,1441220716697124865,
2026-05-20 15:44:47,2026-05-20 15:44:47,Bitget Futures,AAPLUSDT,filled,close,buy,long,market,sys,5.48,5.48,,301.67,1653.1986,10,isolated,,,,,,,,1653.1986,165.3199,1.0,,,,-0.69434341,28.63130742,27.93696401,1440989910134321153,1440269972384247808,
2026-05-19 22:20:51,2026-05-21 07:45:29,Bitget Futures,JDUSDT,filled,open,buy,long,limit,api,121.21,121.21,31.68,31.68,3839.9328,7,isolated,34.1,31.35,39.9993,293.3282,7.3333,0.33,2.42,3839.9328,548.5618,1.0,,,,0,0,0.0,1440727193641185281,tvflow_jd_20260519_long7x_L3,
2026-05-19 22:20:50,2026-05-21 07:01:56,Bitget Futures,JDUSDT,filled,open,buy,long,limit,api,55.56,55.56,31.98,31.98,1776.8088,7,isolated,33.87,31.35,35.0028,105.0084,3.0,0.63,1.89,1776.8088,253.8298,1.0,,,,0,0,0.0,1440727190944247809,tvflow_jd_20260519_long7x_L2,
2026-05-19 22:20:49,2026-05-20 03:36:22,Bitget Futures,JDUSDT,filled,open,buy,long,limit,api,28.09,28.09,32.24,32.24,905.6216,7,isolated,33.35,31.35,25.0001,31.1799,1.2472,0.89,1.11,905.6216,129.3745,1.0,,,,0,0,0.0,1440727188457025537,tvflow_jd_20260519_long7x_L1,
